,component,name,TF,log_odds,f1score,pvalue,precision,recall,TP,n_genes,n_tf,Regulator,Function,Category,threshold,PRECISE_name,Cam confidence,Cam note
197,197,Rac-prophage-6,,,,,,,,2,,,Accounts for genes in Rac prophage,Biological Enrichment,0.252108852,,High,
198,198,CdaR,cdaR,inf,0.947368421,6.18E-27,0.9,1,9,10,1,cdaR,Glucarate catabolism,Carbon Source Utilization,0.070894594,CdaR,High,
199,199,ExuR,exuR,6.772164625,0.470588235,5.74E-10,0.5,0.444444444,4,8,1,exuR,Galacturonate and glucuronate transport and catabolism,Carbon Source Utilization,0.086566906,,High,
200,200,SR-noise-7,,,,,,,,3,,,Accounts for short gene ykfN,Biological Enrichment,0.075934783,,High,
201,201,SR-noise-8,,,,,,,,2,,,Accounts for short toxin ibsE,Biological Enrichment,0.093752153,,High,
202,202,thrA-KO,,,,,,,,7,,,Accounts for thrA knock-out,Genomic Alterations,0.093965744,thrA-KO,High,
203,203,uncharacterized-15,,,,,,,,57,,,Unknown Function,Uncharacterized,0.049066297,,High,
204,204,MetJ/ComR/DcuR,metJ/comR/dcuR,5.137412,0.355556,3.92E-14,0.4,0.32,8,20,3,metJ or comR or dcuR,Methionine synthesis and sugar response,Miscellaneous Metabolism,0.078707881,,Medium,
205,205,GadWX,gadX+gadW,7.415376,0.615385,3.17E-19,0.727273,0.533333,8,11,2,gadW and gadX,Acid stress response,Stress Response,0.078905908,GadWX,High,
206,206,DhaR/Mlc,dhaR/mlC,7.281844,0.615385,4.44E-19,0.666667,0.571429,8,12,2,dhaR or mlc,Dihydroxyacetone kinase and phosphotransferase systems,Carbon Source Utilization,0.106354327,DhaR/Mlc,High,
207,207,UK-noise-24,,,,,,,,1,,,Accounts for b4734,Biological Enrichment,0.31307863,,High,
208,208,ptsI-KO-1,,,,,,,,32,,,Accounts for ptsI deletion,Genomic Alterations,0.04897948,,High,
209,209,Glutathione,,,,,,,,6,,,Accounts for glutathione genes,Biological Enrichment,0.119793761,,High,
210,210,uncharacterized-16,,,,,,,,18,,,Unknown Function,Uncharacterized,0.066314235,lipopolysaccharide,Medium,
211,211,SG-noise-4,,,,,,,,2,,,Accounts for alaE,Biological Enrichment,0.082379104,,High,
212,212,SG-noise-5,,,,,,,,5,,,Accounts for hiuH,Biological Enrichment,0.106603371,,High,
213,213,Cytochrome bd,,,,,,,,6,,,Accounts for units of cyt bd,Biological Enrichment,0.107927638,,High,
214,214,UK-noise-25,,,,,,,,4,,,Accounts for b4657,Biological Enrichment,0.085590396,,High,
215,215,DcuR,dcuR,7.688455357,0.631578947,1.80E-15,0.6,0.666666667,6,10,1,dcuR,4-carbon dicarboxylate response,Carbon Source Utilization,0.084340107,,High,
216,216,SG-noise-6,,,,,,,,2,,,Accounts for fixX,Biological Enrichment,0.084546798,,High,
217,217,SG-noise-7,,,,,,,,6,,,Accounts for aaaD,Biological Enrichment,0.083178501,,High,
218,218,RhaS-2,rhaS,8.382975849,0.6,5.72E-09,0.75,0.5,3,4,1,rhaS,Rhamnose transport and catabolism,Carbon Source Utilization,0.096142876,,High,
219,219,uncharacterized-6,,,,,,,,74,,,Unknown Function,Uncharacterized,0.0466107,uncharacterized-6,High,
220,220,UK-noise-26,,,,,,,,1,,,Accounts for ymiB,Biological Enrichment,0.31096551,,High,
221,221,UK-noise-27,,,,,,,,6,,,Accounts for b4604,Biological Enrichment,0.07361974,,High,
222,222,mdtIJ,,,,,,,,2,,,Accounts for multidrug/spermidine pump,Biological Enrichment,0.23541073,,High,
223,223,NtrC+RpoN-2,ntrC+rpoN,6.259252,0.459016,2.18E-26,0.777778,0.325581,14,18,2,ntrC+rpoN,Nitrogen starvation response,Stress Response,0.069963873,NtrC+RpoN,High,
224,224,SG-noise-8,,,,,,,,6,,,Accounts for yfjZ,Biological Enrichment,0.073410692,,High,
225,225,BCAA-transport,,,,,,,,9,,,Accounts for genes involved in BCAA/AAA transport,Amino Acid and Nucleotide Biosynthesis,0.107393648,,High,
226,226,ptsI-KO-2,,,,,,,,41,,,Accounts for ptsI deletion,Genomic Alterations,0.058599684,,High,
227,227,uncharacterized-17,,,,,,,,4,,,Unknown Function,Uncharacterized,0.09189451,,Medium,
228,228,baeR-KO,,,,,,,,12,,,Accounts for baeR deletion,Genomic Alterations,0.087949688,,High,
